2024-07-01 10:43:06,611 | DEBUG | asyncio | Using proactor: IocpProactor
2024-07-01 10:46:38,704 | INFO | recorder.audio_segment_manager | Audio segment saved: data\recordings\2024-07-01_10-46-38.wav
2024-07-01 10:46:38,704 | INFO | recorder.audio_segment_manager | Buffer saved to Transcription Queue | File Path: data\recordings\2024-07-01_10-46-38.wav
2024-07-01 10:46:38,704 | INFO | recorder.audio_segment_manager | Buffer sent for transcription | Buffer Length: 8.5 seconds
2024-07-01 10:46:38,704 | DEBUG | recorder.audio_buffer | Clearing audio buffer
2024-07-01 10:46:38,704 | DEBUG | recorder.audio_segment_manager | Audio buffer reset after processing.
2024-07-01 10:46:38,705 | DEBUG | __mp_main__ | Received file_path from queue: ('data\\recordings\\2024-07-01_10-46-38.wav', datetime.datetime(2024, 7, 1, 9, 46, 38, 698411), 8.5)
2024-07-01 10:46:38,705 | DEBUG | asyncio | Using proactor: IocpProactor
2024-07-01 10:46:38,706 | DEBUG | transcriber.transcriber_service | Starting transcription for file: data\recordings\2024-07-01_10-46-38.wav
2024-07-01 10:46:38,706 | DEBUG | transcriber.transcriber_service | Processing audio file: data\recordings\2024-07-01_10-46-38.wav
2024-07-01 10:46:38,768 | INFO | transcriber.transcriber_service | Audio file processed successfully.
2024-07-01 10:46:39,255 | INFO | transcriber.transcriber_service | ###### Speech End Time: 2024-07-01 09:46:38.698411
2024-07-01 10:46:39,255 | INFO | transcriber.transcriber_service | ###### Transcription time: 0:00:00.557465 seconds
2024-07-01 10:46:39,255 | INFO | transcriber.transcriber_service | ###### Transcription result: Speaking or at least have spoken, where do you see them finding middle ground and an influence if they are?
2024-07-01 10:46:39,257 | DEBUG | websockets.client | = connection is CONNECTING
2024-07-01 10:46:39,257 | DEBUG | websockets.server | = connection is CONNECTING
2024-07-01 10:46:39,258 | DEBUG | websockets.client | > GET / HTTP/1.1
2024-07-01 10:46:39,258 | DEBUG | websockets.client | > Host: localhost:8765
2024-07-01 10:46:39,258 | DEBUG | websockets.client | > Upgrade: websocket
2024-07-01 10:46:39,258 | DEBUG | websockets.client | > Connection: Upgrade
2024-07-01 10:46:39,258 | DEBUG | websockets.client | > Sec-WebSocket-Key: 0DIieDeuMTXXWyqTL3TJyA==
2024-07-01 10:46:39,258 | DEBUG | websockets.client | > Sec-WebSocket-Version: 13
2024-07-01 10:46:39,258 | DEBUG | websockets.client | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2024-07-01 10:46:39,258 | DEBUG | websockets.client | > User-Agent: Python/3.12 websockets/12.0
2024-07-01 10:46:39,258 | DEBUG | websockets.server | < GET / HTTP/1.1
2024-07-01 10:46:39,258 | DEBUG | websockets.server | < Host: localhost:8765
2024-07-01 10:46:39,258 | DEBUG | websockets.server | < Upgrade: websocket
2024-07-01 10:46:39,258 | DEBUG | websockets.server | < Connection: Upgrade
2024-07-01 10:46:39,258 | DEBUG | websockets.server | < Sec-WebSocket-Key: 0DIieDeuMTXXWyqTL3TJyA==
2024-07-01 10:46:39,259 | DEBUG | websockets.server | < Sec-WebSocket-Version: 13
2024-07-01 10:46:39,259 | DEBUG | websockets.server | < Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2024-07-01 10:46:39,259 | DEBUG | websockets.server | < User-Agent: Python/3.12 websockets/12.0
2024-07-01 10:46:39,259 | DEBUG | websockets.server | > HTTP/1.1 101 Switching Protocols
2024-07-01 10:46:39,259 | DEBUG | websockets.server | > Upgrade: websocket
2024-07-01 10:46:39,259 | DEBUG | websockets.server | > Connection: Upgrade
2024-07-01 10:46:39,259 | DEBUG | websockets.server | > Sec-WebSocket-Accept: IetAPl/XaPFk2kJnak19w4avVs0=
2024-07-01 10:46:39,259 | DEBUG | websockets.server | > Sec-WebSocket-Extensions: permessage-deflate; server_max_window_bits=12; client_max_window_bits=12
2024-07-01 10:46:39,259 | DEBUG | websockets.server | > Date: Mon, 01 Jul 2024 09:46:39 GMT
2024-07-01 10:46:39,259 | DEBUG | websockets.server | > Server: Python/3.12 websockets/12.0
2024-07-01 10:46:39,259 | INFO | websockets.server | connection open
2024-07-01 10:46:39,259 | DEBUG | websockets.server | = connection is OPEN
2024-07-01 10:46:39,259 | DEBUG | websockets.client | < HTTP/1.1 101 Switching Protocols
2024-07-01 10:46:39,260 | DEBUG | __main__ | New client connected: ('::1', 65458, 0, 0)
2024-07-01 10:46:39,260 | DEBUG | websockets.client | < Upgrade: websocket
2024-07-01 10:46:39,260 | DEBUG | websockets.client | < Connection: Upgrade
2024-07-01 10:46:39,260 | DEBUG | websockets.client | < Sec-WebSocket-Accept: IetAPl/XaPFk2kJnak19w4avVs0=
2024-07-01 10:46:39,260 | DEBUG | websockets.client | < Sec-WebSocket-Extensions: permessage-deflate; server_max_window_bits=12; client_max_window_bits=12
2024-07-01 10:46:39,260 | DEBUG | websockets.client | < Date: Mon, 01 Jul 2024 09:46:39 GMT
2024-07-01 10:46:39,260 | DEBUG | websockets.client | < Server: Python/3.12 websockets/12.0
2024-07-01 10:46:39,260 | DEBUG | websockets.client | = connection is OPEN
2024-07-01 10:46:39,260 | DEBUG | websockets.client | > TEXT '{"content": "Speaking or at least have spoken, ...iption_time": 0.557465}' [208 bytes]
2024-07-01 10:46:39,260 | DEBUG | transcriber.transcriber_service | Sent transcription data via WebSocket.
2024-07-01 10:46:39,260 | DEBUG | websockets.client | = connection is CLOSING
2024-07-01 10:46:39,260 | DEBUG | websockets.client | > CLOSE 1000 (OK) [2 bytes]
2024-07-01 10:46:39,260 | DEBUG | websockets.server | < TEXT '{"content": "Speaking or at least have spoken, ...iption_time": 0.557465}' [208 bytes]
2024-07-01 10:46:39,261 | DEBUG | __main__ | Received message: {'content': 'Speaking or at least have spoken, where do you see them finding middle ground and an influence if they are?', 'speech_end_timestamp': '2024-07-01T09:46:38.698411', 'transcription_time': 0.557465}
2024-07-01 10:46:39,261 | DEBUG | __main__ | Broadcasting message: {'content': 'Speaking or at least have spoken, where do you see them finding middle ground and an influence if they are?', 'speech_end_timestamp': '2024-07-01T09:46:38.698411', 'transcription_time': 0.557465}
2024-07-01 10:46:39,261 | DEBUG | websockets.server | > TEXT '{"content": "Speaking or at least have spoken, ...iption_time": 0.557465}' [208 bytes]
2024-07-01 10:46:39,261 | DEBUG | websockets.server | > TEXT '{"content": "Speaking or at least have spoken, ...iption_time": 0.557465}' [208 bytes]
2024-07-01 10:46:39,261 | DEBUG | websockets.client | < TEXT '{"content": "Speaking or at least have spoken, ...iption_time": 0.557465}' [208 bytes]
2024-07-01 10:46:39,261 | DEBUG | websockets.server | < CLOSE 1000 (OK) [2 bytes]
2024-07-01 10:46:39,261 | DEBUG | websockets.server | = connection is CLOSING
2024-07-01 10:46:39,261 | DEBUG | websockets.server | > CLOSE 1000 (OK) [2 bytes]
2024-07-01 10:46:39,262 | DEBUG | websockets.server | x half-closing TCP connection
2024-07-01 10:46:39,262 | DEBUG | websockets.client | < CLOSE 1000 (OK) [2 bytes]
2024-07-01 10:46:39,262 | DEBUG | websockets.client | = connection is CLOSED
2024-07-01 10:46:39,262 | DEBUG | websockets.server | = connection is CLOSED
2024-07-01 10:46:39,262 | INFO | websockets.server | connection closed
2024-07-01 10:46:39,263 | INFO | __mp_main__ | Transcription Result: Speaking or at least have spoken, where do you see them finding middle ground and an influence if they are?
2024-07-01 10:46:39,263 | DEBUG | __mp_main__ | Transcription for data\recordings\2024-07-01_10-46-38.wav completed.
2024-07-01 10:46:51,338 | INFO | utils.utils | Graceful shutdown initiated...
2024-07-01 10:46:51,338 | INFO | __mp_main__ | KeyboardInterrupt caught in transcription worker.
2024-07-01 10:46:51,338 | INFO | websockets.server | server closing
2024-07-01 10:46:51,338 | DEBUG | __mp_main__ | Transcription worker ended.
2024-07-01 10:46:51,339 | DEBUG | websockets.server | = connection is CLOSING
2024-07-01 10:46:51,339 | DEBUG | websockets.server | > CLOSE 1001 (going away) [2 bytes]
2024-07-01 10:46:51,339 | DEBUG | websockets.server | < CLOSE 1001 (going away) [2 bytes]
2024-07-01 10:46:51,339 | DEBUG | websockets.server | x half-closing TCP connection
2024-07-01 10:46:51,340 | DEBUG | websockets.server | = connection is CLOSED
2024-07-01 10:46:51,340 | INFO | websockets.server | connection closed
2024-07-01 10:46:51,340 | INFO | websockets.server | server closed
2024-07-01 10:46:51,702 | DEBUG | __main__ | Audio capture and processing stream has ended.
2024-07-01 10:46:52,275 | INFO | utils.utils | All processes and threads have been shut down.
2024-07-01 10:46:52,276 | INFO | __main__ | Main application terminated.
